Data;Alterações
2026-05-27;"feat: restaurar listagem e marcação de voltas por atleta com filtro de equipes nos temporizadores"
2026-05-26;"ajustes adicionar"
2026-05-26;"feat: melhorias no sistema esportivo de tempo/voltas e correções na súmula de basquete por voz"
2026-05-25;"fix: resolve events public results route, stats Timer import runtime crash, and robust category_id params filter across all public views"
2026-05-25;"fix: resolve public team relay redirect, delete time handler positional mapping, countdown modal responsiveness, laps feed details, and admin times sorting"
2026-05-25;"fix: restore artisan file to fix composer package discover and resolve build failure on VPS"
2026-05-25;"fix: resolve swim icons, team relay redirect, relay competitor dropdown filter, and laps format display bugs"
2026-05-25;"feat: align futsal scoresheet timer and end-of-match logic with futebol 7"
2026-05-25;"feat: implement public team relay results, best lap stats, futsal fouls, stopwatch team filter and swim icon"
2026-05-22;"feat: fix times and laps with dynamic Laravel Reverb configuration and premium F1 UI"
2026-05-22;"Fix competitor times, stopwatch and countdown modal to be fully optimistic, instantaneous and scoped with match ID"
2026-05-22;"feat: organize championships by stage/heat, refactor MatchDetailsModal and AdminMatchManager into subcomponents"
2026-05-19;"fix: add category_id to Participant type and make timerRefs environment-independent"
2026-05-19;"refactor: extract stopwatch, countdown, and manual time modals into highly optimized subcomponents"
2026-05-19;"fix: add optimistic updates to +1 lap count in countdown panel"
2026-05-19;"fix: compute individual segment times in relay mode, add double-click protection and saving states to stopwatch modal"
2026-05-18;"fix: add optional chaining to user_id.toString() in frontend, add self-healing schema checks for lap column in backend competitor times store"
2026-05-18;"fix: complete relay mode UI and implement robust team participants loading with self-healing fallback"
2026-05-18;"fix: wrap competitor times broadcasts in try-catch to prevent 500 error on save"
2026-05-18;"fix: resolve 500 error on championships participants API"
2026-05-15;"novidade"
2026-05-15;"novidade"
2026-05-15;" fix: add https://localhost to CORS for Android Capacitor"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-13;"feat: temporizador global para lancamento em lote de voltas/distancia"
2026-05-13;"fix: bypass NewEventSelection and go straight to ChampionshipForm"
2026-05-13;"fix: syntax errors in AdminChampionshipTimes.tsx"
2026-05-13;"fix: Add lap property to RaceResult interface in PublicRaceResults.tsx"
2026-05-13;"feat: Implement multi-format championship management including Laps format"
2026-05-13;"feat: unified team/individual stopwatch and manual time modals with auto-sync to race results"
2026-05-12;"feat: Finalize secure client portal API and file delivery endpoints"
2026-05-12;"feat: Add secure token-authenticated Client Portal API for auditing exe"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-04-30;"fix"
2026-04-30;"feat: add WebP support to art generation"
2026-04-26;"novidade"
2026-04-25;"novidade"
2026-04-25;"novidade"
2026-04-24;"Adicionado alias futebol-7 para menu de estatísticas"
2026-04-24;"Implementado card Defesa Menos Vazada (Backend + Frontend + Editor)"
2026-04-23;"novidade"
2026-04-22;"novidade"
2026-04-22;"novidade"
2026-04-16;"novidade"
2026-04-16;"novidade"
2026-04-15;"novidade"
2026-04-15;"novidade"
2026-04-14;"fix"
2026-04-14;"fix"
2026-04-10;"novidade"
2026-04-10;"novidade"
2026-04-01;"ajustes rodada"
2026-04-01;"ajustes rodada"
2026-03-31;"ajustes rodadas"
2026-03-31;"ajustes rodadas"
2026-03-31;"fix voley"
2026-03-31;"fx"
2026-03-31;"add perna pau"
2026-03-30;"fix grupos"
2026-03-30;"fix grupos"
2026-03-30;"fix grupos"
2026-03-30;"fix grupos"
2026-03-30;"ajuste logica desempate"
2026-03-26;"fix art"
2026-03-26;"fixes"
2026-03-20;"ajuste tenis"
2026-03-20;"ajuste tenis"
2026-03-20;"ajuste tenis"
2026-03-20;"ajuste tenis"
2026-03-20;"ajuste 2o amarelo"
2026-03-20;"ajuste 2o amarelo"
2026-03-20;"ajuste 2o amarelo"
2026-03-19;"fix sumula impressa"
2026-03-19;"fix sumula impressa"
2026-03-19;"fix sumula impressa"
2026-03-19;"fix sumula impressa"
2026-03-19;"fix sumula impressa"
2026-03-19;"fix sumula impressa"
2026-03-18;"bola vermelha"
2026-03-18;"ajuste awards"
2026-03-17;"feat: add product kit report for individual championships with variant counts"
2026-03-17;"fix: ensure product stock reduction on payment confirmation and free registrations"
2026-03-17;"fix: ensure robust price breakdown and coupon display in finance dashboard"
2026-03-17;"fix: improve coupon reporting and price breakdown in finance dashboard"
2026-03-17;"fix: adjust financial transaction dates to local timezone"
2026-03-17;"feat: show payment breakdown with discounts and coupons"
2026-03-17;"feat: add category filtering and revenue breakdown"
2026-03-17;"fix val"
2026-03-17;"fix val"
2026-03-17;"fix cupom"
2026-03-17;"fix cupom"
2026-03-17;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix cupom"
2026-03-16;"fix basquete"
2026-03-15;"fix arte again"
2026-03-15;"fix arte"
2026-03-15;"fix: art photo respects remove_bg_on_art - no bg removal when event doesnt want it"
2026-03-15;"fix: add urlToPath to ArtGdTrait so IndividualArtController can use it"
2026-03-15;"fix"
2026-03-15;"fix"
2026-03-15;"fix local"
2026-03-15;"fix cupom3"
2026-03-15;"fix cupom2"
2026-03-15;"fix cupom"
2026-03-14;"fix arte"
2026-03-14;"fix arte"
2026-03-14;"fix arte"
2026-03-13;"fix template"
2026-03-13;"fix match modal"
2026-03-13;"fix arte"
2026-03-13;"fix: blindagem total do webhook - pagamento sempre commitado antes do email/estoque"
2026-03-13;"fix: instala dompdf no Dockerfile (PHP 8.4 server), protege ReceiptController se ausente"
2026-03-13;"fix: remove dompdf do composer.json, protege ReceiptController contra ausencia do pacote"
2026-03-13;"fix webhook"
2026-03-13;"fix webhook"
2026-03-13;"fix"
2026-03-13;"fix: corrige calculo do valor da inscricao (categoria + subcategoria automatica)"
2026-03-13;"ajuste"
2026-03-12;"fix valor auto"
2026-03-12;"fix valor"
2026-03-12;"fix valor"
2026-03-12;"refatorando novamente"
2026-03-12;"refatorei"
2026-03-12;"refatorei"
2026-03-12;"sem retirar fundo race"
2026-03-12;"sem retirar fundo race"
2026-03-12;"alteracao race"
2026-03-12;"alteracao tenis"
2026-03-12;"alteracao ponto adv tenis"
2026-03-12;"melhora tennis"
2026-03-12;"fix: ultra-responsive tennis scorecard"
2026-03-12;"fix tenis"
2026-03-12;"alterado tenis"
2026-03-12;"melhora race"
2026-03-11;"fix payment again"
2026-03-11;"fix payment again"
2026-03-11;"fix payment"
2026-03-11;"fix: restore race logic and improve cpf match"
2026-03-11;"fix: restore race logic and improve cpf match"
2026-03-11;"fix: adjust tracking error codes and logs"
2026-03-11;"melhora corrida"
2026-03-10;"ajuste fut7"
2026-03-10;"fix lider time"
2026-03-10;"fix erro APAGA"
2026-03-10;"fix erro"
2026-03-10;"fix erro"
2026-03-10;"fix erro"
2026-03-10;"fix erro"
2026-03-10;"fix erro"
2026-03-10;"fix erro"
2026-03-10;"pdf confirma email"
2026-03-10;"email"
2026-03-10;"add webhook tk"
2026-03-10;"add opcao compra"
2026-03-10;"ajustes inscricao"
2026-03-10;"ajustes inscricao"
2026-03-10;"ajustes produtos"
2026-03-09;"ajuste profile"
2026-03-09;"ajuste lider como admin"
2026-03-09;"aj"
2026-03-09;"fix: optimized compression flow and audit context"
2026-03-09;"debug timeout photo"
2026-03-09;"fix table name in removePlayer"
2026-03-09;"add frontend logs"
2026-03-09;"ajuste logs"
2026-03-09;"ajuste fotos lider denovoooooo"
2026-03-09;"melhorando reporte de erros e fix remover"
2026-03-09;"ajuste fotos lider denovo"
2026-03-09;"ajuste fotos lider denovo"
2026-03-09;"ajuste fotos lider"
2026-03-09;"ajuste fotos lider"
2026-03-09;"ajuste fotos lider"
2026-03-09;"ajuste ver artes"
2026-03-09;"ajuste foto lider e art"
2026-03-09;"ajuste foto lider e art"
2026-03-09;"ajuste pag gerenciar jogos"
2026-03-07;"att race"
2026-03-07;"fix categorias"
2026-03-07;"ajustes pcd e idoso"
2026-03-07;"ajustes pcd e idoso"
2026-03-06;"arruma inscricao indiv"
2026-03-06;"att club home"
2026-03-06;"add payment tracking, filtering and export to individual athlete management"
2026-03-06;"improve overall mobile responsiveness for individual admin pages"
2026-03-06;"fix import csv logic and duplicate athlete check"
2026-03-06;"fix athlete manager api and category hierarchy"
2026-03-06;"fix gender enums and match wizard pattern"
2026-03-06;"fix category api endpoints and improve management UI"
2026-03-05;"fix coupon percent type and additional category price checks"
2026-03-05;"simplificacao artes e correcao bugs"
2026-03-05;"erros basicos individ"
2026-03-05;"rota card equipes"
2026-03-05;"editado sumula volei encerrrar pt"
2026-03-05;"mostra times"
2026-03-05;"mostra times"
2026-03-05;"primeiras alteracoes individual"
2026-03-05;"ações e backend individual"
2026-03-05;"ações e backend individual"
2026-03-05;"iniciando fase indiv"
2026-03-04;"feat: adicionar suporte a 3 fotos no modal de add jogador do líder"
2026-03-04;"fix volei"
2026-03-04;"fix volei"
2026-03-04;"fix group modal"
2026-03-04;"refactor: split ArtGeneratorController into 3 traits (ArtGdTrait, ArtCardTrait, ArtMatchTrait)"
2026-03-04;"fix: always run rembg in dynamic template player photo path too"
2026-03-04;"always run rembg on player photo before rendering art, no cache skip"
2026-03-04;"add more detailed log for rembg python command execution"
2026-03-04;"force run rembg on all generated player photos by using _processed suffix"
2026-03-04;"add download button to player profile photo"
2026-03-04;"auto run rembg on player art generation if not exists"
2026-03-04;"fix transparency correctly via intermediate canvas directly in ArtGenerator"
2026-03-04;"add run_rembg button in debug controller"
2026-03-04;"debug player art generation"
2026-03-04;"voltando"
2026-03-04;"arrumando arte"
2026-03-04;"arrumando arte"
2026-03-03;"fix: resolve erro 'sem permissao' ao lider atualizar propria foto no perfil usando Rota /me/photo"
2026-03-03;"fix: corrige compressao de PNG para nao gerar fundo preto e ajusta vinculacao do time no cadastro"
2026-03-03;"fix: corrige renderizacao de fundo preto na arte e add remover fundo IA"
2026-03-03;"corrigido modal lider photos"
2026-03-03;"corrigindo volei e craque art"
2026-03-03;"fix: GD alpha channel blending fix on imagecopyresampled"
2026-03-03;"corrigindo volei e craque art"
2026-03-03;"AJUSTANDO"
2026-03-03;"separando cod"
2026-03-03;"arrumando categorias"
2026-03-02;"ajustes grupos"
2026-03-02;"ajuste traefik"
2026-03-02;"lider permissao editar"
2026-03-02;"arrumando nome time grande"
2026-03-02;"arrumando nome time grande"
2026-03-02;"feat: implementar exclusão/anonimização de conta para conformidade Google Play"
2026-02-28;"Add Privacy Policy page and fix root frontend Android SDK path"
2026-02-28;"Improve audit log precision, detail and remove redundancy"
2026-02-28;"Fix 500 error in AuditController by using filled() for optional filters"
2026-02-28;"Add try-catch to AuditController for VPS error diagnosis"
2026-02-28;"Add test routes to debug 500 error on VPS"
2026-02-28;"Sincronização da interface de auditoria no frontend integrado (backend/frontend)"
2026-02-28;"Filtros por data e usuário na auditoria"
2026-02-28;"Implementação de sistema de auditoria completo com rastreamento de payload, resposta e página de origem"
2026-02-28;"Fix: Roster leakage between championships. Ensure players are filtered by championship_id in all match-related endpoints."
2026-02-28;"Backend: Fix scoreboard logic when deleting events (handle own goals, prevent negative scores, auto-revert match status on system event deletion)"
2026-02-27;"ajustes comercial"
2026-02-27;"fixing img"
2026-02-27;"fix: explicit error alerts in PlayerForm and PhotoUploadSection + robust .jfif support"
2026-02-27;"fix: robust nobg detection and PNG output for all inputs (fixes RGBA as JPEG error)"
2026-02-27;"fix: debug logs, exec() check, python auto-detect, test-ai-env endpoint"
2026-02-27;"fix: usar rota publica /public/art para abrir arte em nova aba"
2026-02-27;"fix: remove_bg error feedback + better ai error details"
2026-02-27;"fixing img"
2026-02-27;"feat: Reset match timer on new periods for Futebol and Futebol7 offline matches"
2026-02-27;"fix: Optimistic score update for volleyball offline mode"
2026-02-27;"fix: Resolve UI freezing and sync issues by tracking pending queue externally"
2026-02-27;"feat: Add offline resilience to BasqueteVoz, Handebol, Tenis and update Agenda link"
2026-02-26;"feat(EventController): add 3-points and 2-points stat breakdown endpoints for basketball statistics"
2026-02-26;"fix(EventController): remove penalty shootouts and properly exclude own goals from top scorer statistics"
2026-02-26;"fix(EventController): correct JSON decoding array crash and expand the list of event_types for all sports on stats endpoint"
2026-02-26;"fix(EventController): correct event stats across all sports by unifying match_events and game_matches.match_details data sources"
2026-02-26;"fix(public): fix category_id empty string break and missing assist/rebound stat querying"
2026-02-26;"fix(tenis): correctly map event payload on point or game add"
2026-02-26;"fix(volei): always show btn"
2026-02-26;"feat(tenis): integrate offline resilience for point tracking and set finish"
2026-02-26;"fix(volei): correct match details timer, fix art button url and correct mvp/end match button logic"
2026-02-26;"fix(admin): resolve art tab missing content in match manager summary modal and fix volley specific labels in match details"
2026-02-26;"feat(volley): implement MVP/Finish Match buttons on Volley sumula, enhance sets display size and invert scoreboard automatically"
2026-02-26;"feat: fixes in public match page display for volley"
2026-02-26;"feat: volei specific emojis, timeline names and fix match timer sync"
2026-02-26;"fix: keep setupModalOpen value updated in closures using ref"
2026-02-26;"fix: keep local rotation and serving team state while setup modal is open"
2026-02-26;"feat: adjust art text wrapping to break on slash and > 15 chars"
2026-02-26;"feat: smart text wrapping for long team names in art generator"
2026-02-26;"feat: volei sumula bug fixes and enhancements"
2026-02-26;"chore: revert sumula volei to 4b6bff1 and save current as atual"
2026-02-26;"fix: volley match flow, timer, point registration and password recovery backend"
2026-02-25;"feat: add coolify frontend URL to CORS allowed origins"
2026-02-25;"perf: compressao em 2 estagios - reducao de resolucao primeiro, qualidade JPEG so se necessario"
2026-02-25;"feat: compressao automatica de imagens no frontend + limite 4MB no backend"
2026-02-25;"fix: cors - adiciona origens Capacitor (iOS/Android) e corrige supports_credentials vs wildcard"
2026-02-25;"fix: corrige bug de periodo - timerRef atualizado antes de registerSystemEvent (Futebol e Futebol7)"
2026-02-25;"feat: unifica botoes de cartao e craque na sumula (Futebol e Futebol7); destaca gol contra na timeline; UI dark glassmorphism"
2026-02-25;"fix: restaura sumula volei com rodizio, corrige tremor UI e faltas e tiro livre no futsal e futebol 7"
2026-02-25;"Refactor: Mobile-friendly side-by-side layout for Football, F7, Futsal and Handball sumulas"
2026-02-25;"feat: implement universal offline resilience hook across multiple sports including Futebol, Volei, F7, Futsal, Handebol and Futevolei"
2026-02-25;"fix: restore basketball voice logic and integrate offline resilience"
2026-02-25;"feat: implement universal offline resilience hook across multiple sports including Futebol, Volei, F7, Futsal, Handebol and Futevolei"
2026-02-25;"arrumando a bagunca do volei"
2026-02-25;"arrumando a bagunca do volei"
2026-02-25;"arrumando a bagunca do volei"
2026-02-25;"arrumando a bagunca do volei"
2026-02-25;"arrumando a bagunca do volei"
2026-02-25;"arrumando erros"
2026-02-24;"arrumando erros"
2026-02-24;"arrumando erros"
2026-02-24;"arrumando erros"
2026-02-24;"arrumando erros"
2026-02-24;"arrumando erros"
2026-02-24;"feat(volei): add set timing, auto side-swap, and rotation helpers"
2026-02-24;"style(volei): optimize sumula UI for mobile devices"
2026-02-24;"fix(volei): fix players loading and UI adjustments in sumula"
2026-02-24;"fixing basquete"
2026-02-24;"fixing basquete"
2026-02-24;"fixing basquete"
2026-02-24;"style: ocultar botão de auditoria para esportes que não utilizam voz"
2026-02-24;"fix: associação definitiva de player_id nos eventos de voz"
2026-02-24;"fix: resolve erro de closure e melhora identificação de jogadores por voz"
2026-02-24;"feat: exibição de elencos e detalhes de falha na auditoria"
2026-02-24;"feat: suporte massivo a gírias de basquete e flexibilidade de comandos"
2026-02-24;"fix: suporte a acentos e melhoria na auditoria de elencos"
2026-02-24;"feat: melhoria robusta no reconhecimento de jogadores (nome e número por extenso)"
2026-02-24;"fix: restaurar carregamento de elencos na súmula de basquete por voz"
2026-02-24;"feat: auditoria de voz e controle de cronômetro no admin"
2026-02-24;"feat: logs detalhados de voz e controle de tempo na súmula"
2026-02-24;"feat: histórico de eventos com exclusão e controle de quartos na súmula de voz"
2026-02-24;"fix: persistência do cronômetro de basquete e log de comandos de voz em eventos"
2026-02-24;"fix: suporte a busca de jogadores por nome na súmula de voz e melhoria na flexibilidade de comandos"
2026-02-24;"feat: melhorias na súmula de basquete por voz, cronômetro e lista de jogadores"
2026-02-23;"fix: corrigindo URLs de imagens para usar proxy /api/storage e sincronização de contexto de usuário"
2026-02-23;"fix: native speech recognition stop logic and transcript fallback"
2026-02-23;"feat: basketball voice scorekeeper with native capacitor support"
2026-02-23;"fix: tennis layout overflows and add event undo functionality"
2026-02-23;"feat: sync basketball voice commands and public match details with sport-specific events"
2026-02-23;"fix: match events duplicates, tennis rules improvements and basketball voice scorekeeper default"
2026-02-23;"fixing bracket frontend and more"
2026-02-23;"changes on front and backend"
2026-02-23;"feat: premium UI refinements, logo fallbacks, and mobile layout fixes"
2026-02-20;"fix: use ^~ for api location in nginx to properly serve storage images"
2026-02-20;"fix: resolve admin overlay blocking interface in medium resolutions"
2026-02-20;"fix: adjust nginx cache to allow api storage images"
2026-02-20;"fix: logout agora chama signOut() + link Admin corrigido para /admin/dashboard"
2026-02-20;"feat: modal público com pills coloridos, frases por tipo e badge de time no mobile"
2026-02-20;"fix: frases por tipo de evento, titulo defensivo contra dados legados, cache nginx no-store p/ index.html"
2026-02-20;"fix: menu iOS Safari - z-index, safe-area, translate-no e viewport-fit=cover"
2026-02-20;"feat: frases poliesportivas, ordenacao fases, filtro por rodada, fonte pill aumentada"
2026-02-20;"fixed error public sumula"
2026-02-20;"fixed error public sumula"
2026-02-20;"implementado sumula voz basquete"
2026-02-20;"feat: backend update"
2026-02-19;"feat(frontend): prevent screen sleep in sumula and improve foul logic for futsal/society"
2026-02-19;"Enhance user creation details and email validation"
2026-02-19;"Fix AdminPlayerController password update and add debug logs for Club Explore"
2026-02-18;"add upload troubleshooting guide"
2026-02-18;"refactor profile to use PhotoUploadSection and add desktop menu links"
2026-02-18;"fix photo url construction"
2026-02-18;"fix required"
2026-02-18;"fix required"
2026-02-18;"feat: player upload with background removal and form improvements"
2026-02-17;"fix required"
2026-02-16;"alterações que o guilherme pediu"
2026-02-16;"Docs: Update CHANGES.md"
2026-02-16;"Fix: Add missing X icon import"
2026-02-16;"Refactor: Move Art Settings to Modal"
2026-02-16;"Feat: Add foul event to Football match sheet"
2026-02-16;"Fix: Add filter by sport in settings art and enable art_settings persistence"
2026-02-16;"Fix: Make birth_date optional in PlayerEditModal"
2026-02-16;"Feat: Art generation per championship & Team context player editing"
2026-02-16;"alterações que o guilherme pediu"
2026-02-16;"fix: image upload proxy url and cleanup"
2026-02-16;"testando"
2026-02-16;"testando"
2026-02-16;"testando"
2026-02-16;"fix(frontend): construct profile photo URL on client side to resolve proxy issues"
2026-02-16;"feat(frontend): add logs to debug profile photo update"
2026-02-16;"fix(backend): force absolute URLs for player photo upload response"
2026-02-16;"feat(frontend): integrate document scanning and fix dom error"
2026-02-16;"fix(backend): prevent password double hashing on user registration"
2026-02-16;"fix(backend): improvements for user registration and profile photo handling"
2026-02-16;"fix docker-compose"
2026-02-15;"fix art"
2026-02-15;"fix art"
2026-02-15;"fix art"
2026-02-14;"fix art"
2026-02-14;"fix art"
2026-02-13;"add full screen art preview modal and debug logs"
2026-02-13;"update dynamic bg logic in art generator"
2026-02-13;"add sport editor preview"
2026-02-13;"update art placeholders"
2026-02-13;"fixing art error"
2026-02-13;"fixing art error"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"add modulo total personal"
2026-02-13;"fixplacar"
2026-02-13;"fix multiteam"
2026-02-13;"fix multiteam"
2026-02-12;"fixing art generation"
2026-02-12;"fix"
2026-02-12;"fix"
2026-02-12;"fix"
2026-02-12;"fix"
2026-02-12;"fix"
2026-02-12;"fix"
2026-02-12;"fix: corrige bug na arte de jogo programado e remove eventos duplicados de fim de jogo na sumula"
2026-02-12;"fix: logic for starting game button in Match Sheets (Futebol, Futsal, F7, Handebol, Basquete)"
2026-02-12;"fix: protect bracket generation (require finished matches), fix admin routes, optimize mobile button"
2026-02-12;"fix: move status controls outside card link to prevent accidental navigation"
2026-02-11;"feat: adjust art generation for Story format (1080x1920)"
2026-02-11;"add: missing fonts (Merriweather, Open Sans, Lato, Playfair, Teko, Cinzel, Source Sans, Roboto) fixed"
2026-02-11;"fix: scheduled match art layout and add round info to stats modal"
2026-02-11;"enhancement: enforce club colors and fonts on all art generation types and improve scheduled art layout"
2026-02-11;"update public match details modal art tab"
2026-02-11;"fixing"
2026-02-11;"feat: filter explore page by club and add Art tab to match details modal"
2026-02-11;"fix: wrap syncStatuses in try-catch to avoid 500 when migration is pending"
2026-02-11;"feat: update art settings page to be dynamic and include Jogo Programado"
2026-02-11;"feat: implement sport-specific background naming for scheduled games"
2026-02-11;"feat: auto status sync, smart championship status and Jogo Programado art"
2026-02-10;"feat: improve login, explore, my orders and public shop functionality"
2026-02-10;"feat: Add IA Lab page and increase photo upload timeouts"
2026-02-10;"fix: resolve double /api prefix in settings artwork URLs"
2026-02-10;"style: improve match summary edit visibility and UI"
2026-02-10;"feat: allow editing match events and score in summary modal, and fix navigation after finishing match"
2026-02-11;"Fix Leaderboard for running_points and clean EventMatches"
2026-02-11;"Fix syntax error in TeamDetails and ensure backend deploy"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-11;"fixing"
2026-02-10;"Fix Temporary Access club selection for Super Admin"
2026-02-10;"feito"
2026-02-10;"Fix product images logic and make fields optional for admins"
2026-02-10;"Fixed image upload paths and relaxed player registration requirements"
2026-02-10;"Fix: Products image upload URL generation to use Storage::url"
2026-02-10;"Fix: Revert to using /api/storage route for images (with trim safety)"
2026-02-10;"Fix: Remove /api suffix from base URL for image construction"
2026-02-10;"Fix: Add robust trim() to image URL checks"
2026-02-10;"fix: Corrige accessor para não processar URLs completas (https://)"
2026-02-10;"fix: Remove duplicação de /api na URL de imagens de produtos"
2026-02-10;"fix: Corrige carregamento de imagens de produtos"
2026-02-10;"feat: Adiciona UI completa de produtos no wizard de corrida"
2026-02-10;"feat: Implementa sistema completo de produtos/brindes para corridas"
2026-02-09;"feat: adiciona funcionalidade de gol contra no Futsal e Futebol 7"
2026-02-09;"fix: corrige lógica de gol contra - placar, seleção de jogador e visualização pública"
2026-02-09;"feat: adiciona modal de edição de jogadores com upload de foto"
2026-02-08;"fix: adiciona rota web para página de teste de remoção de fundo"
2026-02-08;"feat: melhora UX da arte do MVP e corrige cor das abreviações"
2026-02-08;"feat: adiciona página de teste para remoção de fundo com IA"
2026-02-08;"fix: adiciona suporte completo ao GD para geração de artes"
2026-02-08;"fix: corrige timer voltando no tempo na súmula"
2026-02-08;"feat: Adicionar logs detalhados na Súmula para debug"
2026-02-08;"feat: Adicionar logs detalhados para debug do timer"
2026-02-08;"fix: Timer roda localmente sem depender de updated_at do servidor"
2026-02-08;"fix: Sempre atualizar updated_at do timer para sincronização correta"
2026-02-08;"fix: Corrigir drift de 24h no timer da partida"
2026-02-08;"fix: Corrigir labels Traefik - usar domínio hardcoded e entrypoint 'https'"
2026-02-08;"fix: Adicionar labels Traefik para Reverb no padrão do Coolify"
2026-02-08;"fix: Simplificar configuração do Reverb para gerenciamento pelo Coolify"
2026-02-08;"fix: Ajustar labels Traefik para compatibilidade com Coolify"
2026-02-08;"fix: Corrigir configuração do Reverb WebSocket para atualizações em tempo real"
2026-02-07;"fix: frontend sync time bug and art generator stability"
2026-02-07;"fix: reverb keys and art generator out-of-bounds error"
2026-02-07;"chore: enable debug mode for reverb"
2026-02-07;"fix: robust art generation with fallbacks and removed external dependencies"
2026-02-07;"feat: robust timer sync with server-side timestamps and real-time status indicator"
2026-02-07;"feat: improve mobile sumula UX and add unknown/owngoal options"
2026-02-07;"fix: add startup delay and healthcheck to avoid db connection refused"
2026-02-07;"fix: add direct db dependency to reverb service"
2026-02-07;"infra: add Traefik labels for Reverb WebSocket routing"
2026-02-07;"feat: implement MVP selection and fix Reverb listener"
2026-02-07;"chore: change reverb port to 9090"
2026-02-07;"feat: implement Laravel Reverb real-time updates and public match print view"
2026-02-07;"fix: show clock placeholder when not synced"
2026-02-07;"feat: improve live clock visibility and MatchDetailsModal responsiveness"
2026-02-05;"feat: improve live match timer sync, persistence and score automation across all sports"
2026-02-05;"feat: refine sport sumulas UI, add fouls logic for Futsal/Society and live timer sync for public view"
2026-02-05;"Fix: Live Match Sync - implemented server-side pings, state recovery, and auto-score updates for all sports"
2026-02-05;"fix: apply robust sync logic to SumulaFutsal and backend"
2026-02-05;"fix: robust match start sync and error handling in sumula"
2026-02-05;"feat: public match details modal with live updates and timeline"
2026-02-05;"style: Improve mobile responsiveness for Temporary Access and Product Manager pages"
2026-02-05;"feat: Implement full product management (admin CRUD + public view) and add sidebar navigation for Shop/TempAccess"
2026-02-05;"feat: Add Temporary Access (Seasonal Admin) with renewal capability"
2026-02-05;"feat: Automate championship progression, 3rd place match and UI enhancements"
2026-02-05;"fix: show login prompt on profile page when not authenticated"
2026-02-04;"fix: league_playoffs should behave like league for seeding"
2026-02-04;"refactor: cleaner round robin scheduling without scary dummy logs"
2026-02-04;"fix: cleanup comments in AdminChampionshipController"
2026-02-04;"fix: syntax error in controller"
2026-02-04;"fix: intense logging for scheduler debugging"
2026-02-04;"feat: improve club creation and debug match generation"
